restaurant_id,user_id,new_restaurant_id,new_user_id
0,3,0,0
25,3,1,0
33,3,2,0
41,3,3,0
253,3,4,0
287,3,5,0
458,3,6,0
479,3,7,0
18,3,8,0
7,3,9,0
293,4,10,1
0,4,0,1
41,4,3,1
17,4,11,1
178,4,12,1
414,5,13,2
436,5,14,2
456,5,15,2
469,5,16,2
473,5,17,2
481,5,18,2
31,5,19,2
28,5,20,2
15,5,21,2
12,5,22,2
121,5,23,2
5,5,24,2
392,5,25,2
17,5,11,2
113,5,26,2
287,5,5,2
102,5,27,2
94,5,28,2
67,5,29,2
48,5,30,2
25,5,1,2
6,5,31,2
364,5,32,2
350,5,33,2
347,5,34,2
134,5,35,2
137,5,36,2
139,5,37,2
143,5,38,2
148,5,39,2
171,5,40,2
177,5,41,2
186,5,42,2
187,5,43,2
189,5,44,2
192,5,45,2
197,5,46,2
198,5,47,2
207,5,48,2
208,5,49,2
209,5,50,2
224,5,51,2
227,5,52,2
245,5,53,2
246,5,54,2
258,5,55,2
263,5,56,2
265,5,57,2
281,5,58,2
18,5,8,2
38,5,59,2
313,5,60,2
118,5,61,2
298,5,62,2
40,5,63,2
0,5,0,2
286,6,64,3
0,6,0,3
478,6,65,3
10,6,66,3
287,45,5,4
364,45,32,4
38,45,59,4
211,45,67,4
357,45,68,4
302,45,69,4
0,45,0,4
118,45,61,4
263,45,56,4
40,45,63,4
0,69,0,5
302,69,69,5
444,69,70,5
288,69,71,5
258,69,55,5
396,77,72,6
318,77,73,6
0,77,0,6
352,77,74,6
21,89,75,7
462,89,76,7
313,89,60,7
441,89,77,7
25,89,1,7
102,89,27,7
263,89,56,7
287,89,5,7
5,89,24,7
422,89,78,7
18,89,8,7
344,89,79,7
1,89,80,7
405,89,81,7
32,89,82,7
43,89,83,7
51,89,84,7
444,89,70,7
80,89,85,7
101,89,86,7
141,89,87,7
145,89,88,7
27,89,89,7
236,89,90,7
300,89,91,7
267,89,92,7
1,90,80,8
190,90,93,8
48,90,30,8
71,95,94,9
171,95,40,9
1,95,80,9
162,95,95,9
55,95,96,9
263,95,56,9
222,95,97,9
404,95,98,9
369,95,99,9
399,96,100,10
398,96,101,10
50,96,102,10
481,96,18,10
330,96,103,10
357,96,68,10
1,96,80,10
246,96,54,10
5,96,24,10
402,96,104,10
127,96,105,10
444,100,70,11
250,100,106,11
348,100,107,11
379,100,108,11
1,100,80,11
267,100,92,11
323,102,109,12
189,102,44,12
463,102,110,12
1,102,80,12
17,102,11,12
49,102,111,12
212,102,112,12
482,103,113,13
162,103,95,13
1,103,80,13
360,103,114,13
472,103,115,13
198,104,47,14
222,104,97,14
1,104,80,14
371,104,116,14
273,104,117,14
11,104,118,14
3,104,119,14
51,104,84,14
481,104,18,14
48,104,30,14
50,104,102,14
71,104,94,14
479,104,7,14
118,104,61,14
49,104,111,14
127,104,105,14
33,104,2,14
71,111,94,15
340,111,120,15
45,111,121,15
475,111,122,15
453,111,123,15
386,111,124,15
1,111,80,15
1,112,80,16
187,112,43,16
50,112,102,16
167,115,125,17
85,115,126,17
336,115,127,17
357,115,68,17
41,115,3,17
1,115,80,17
163,115,128,17
52,116,129,18
263,116,56,18
55,116,96,18
1,116,80,18
1,121,80,19
235,121,130,19
189,121,44,19
312,121,131,19
55,122,96,20
101,122,86,20
235,122,130,20
189,122,44,20
45,122,121,20
1,122,80,20
1,124,80,21
133,124,132,21
165,124,133,21
371,124,116,21
439,124,134,21
31,124,19,21
53,124,135,21
